,Tweets,,,
174,پاکستان کے 75ویں یومِ آزادی کےحوالے سےشاندار تقریبات منعقد کرنے پرمیں مریم اورنگزیب کی قیادت میں وزارتِ اطلاعات و نشریات،ISPR اورمتعلقہ تمام اداروں کومبارکباد پیش کرتاہوں.زندہ قومیں اپنی نوجوان نسل کواپنی پہچان بھولنےنہیں دیتیں،اور آج کےتاریخی دن آپ سب نےمل کراس بات کویقینی بنایا,,,
175,"I wish to thank HRH Crown Prince Mohammed bin Salman for the warm welcome & gracious hospitality during my visit. Pakistan & Saudi Arabia have entered into a new era of deeper engagement & cooperation. Eid Mubarak to His Majesty King Salman, HRH the Crown Prince & people of ",,,
176,"3rd International Seminar of Asia-Pacific Parliaments on Sustainable Development Goals, starting in Islamabad today, should priortize climate change as the foremost global challenge. Dream of achieving SDGs cannot be realised without empowering countries to fight climate threat.",,,
177,"Zero tolerance for any laxity in our natitonal fight against polio. We are now going to focus on the districts of South KP, particularly Bannu, North & South Waziristan in our anti-polio drive. The best performing officials will be acknowledged & recognised as national heroes.",,,
178,چلاس، بونر داس میں بوسیدہ مکان کی چھت گرنے سے 9 افراد کے جاں بحق ہونے پر بے حد دُکھ ہے۔ ہم متاثرہ خاندان کے غم میں شریک ہیں اور خاندان کے دیگر افراد سے تعزیت کرتے ہیں۔ اللہ تعالی مرحومین کو جنت الفردوس میں اعلی مقام عطا فرمائے اور لواحقین کو صبرجمیل دے۔ آمین,,,
179,"Grateful to European Union, particularly  
@vonderleyen
, President of 
@EU_Commission
 for the announcement of €30 million in new EU humanitarian aid for Pakistan. Gravity of food & health challenges can be met through deeper cooperation from the world.",,,
180,"The coalition government is diversifying the energy mix by pivoting to renewables, which are key to energy security. The idea is to gradually but surely increase our dependence on indigenous resources. This will provide relief to common man & save precious foreign exchange.",,,
181,"In its tenure of nearly 4 years, the PTI govt took loans worth Rs 20,000 billion, which was an increase of 80% in the loans taken since 1947. Do they have any single project to show for these loans? People want answers.",,,
182,ہماری حکومت اسوقت سیلاب متاثرین کی بحالی میں مصروف ہے لہذا آپکے الزامات و غلط فہمیوں سے متعلق کوئی وقت نہیں۔رہ گئی بات چندے کی تو امید ہے کہ آپ موجودہ فنڈز کے ساتھ ساتھ2010کےسیلاب متاثرین کے نام پر لئے گئے چندےوغیر قانونی فارن فنڈنگ کی ایک ایک پائی کاحساب اُسی طرح ضرور دیں گے>1/2,,,
183,بمناسبة تعيينه رئيساً لمجلس وزراء المملكة العربية السعودية، أبارك لأخي ولي العهد الأمير محمد بن سلمان بن عبدالعزيز آل سعود، وأدعو لسموه بالتوفيق والسداد وللمملكة العربية السعودية الشقيقة بمزيد من التقدم والازدهار في ظل قيادة خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود.,,,
184,آج قوم کو پاکستان کو درپیش چیلینجز سے نبرد آزما ہونے کیلئے بابائے قوم کے ایمان، اتحاد اور تنظیم کے لازوال سنہری اصولوں پر عمل پیرا ہونے کی سب سے ذیادہ ضرورت ہے. معاشی مشکلات میں گھرے وطنِ عزیز کو سیلاب کی قدرتی آفت کا سامنا ہے .,,,
185,I offer my condolences to the family of General (rtd) Pervez Musharraf. May the departed soul rest in peace!,,,
186,The highly offensive desecration of the Holy Quran by a Danish politician is the third such incident in a row that should be strongly condemned by the civilised world. The need for global unity to fight Islamophobia couldn't be more urgent than it is now. We are deeply hurt.,,,
187,"Türkiye'nin 99. Cumhuriyet Bayramı'nda Cumhurbaşkanı 
@RTErdogan
'a ve Türk milletine en içten selamlarımızı gönderiyorum. Gazi Mustafa Kemal Atatürk'ün önderliğinde Türk milletinin kahramanca yürüttüğü bağımsızlık mücadelesi tarihin kayıtlarında önemli bir yere sahiptir.",,,
188,"Thank you Secretary General 
@antonioguterres
 for your strong advocacy of the plight of flood victims & drawing world's attention to the most urgent actionable issue of climate change. International community should move away from talking about climate to acting together. #UNGA",,,
189,It is important to engage our people in the parliamentary proceedings. They should know how parliament works and what their representatives are doing.,,,
190,Avenfield Reference highlights how system of accountability was used to discredit & defame Mian Nawaz Sharif & Maryam Nawaz.Such a vendetta-driven process led to disruption of the country's democratic evolution & caused political instability that took a terrible toll on politics.,,,
191,"Your vote is power. Use this power to reject the politics of anarchy, division & hate. Our beautiful country is much more than what this man has reduced it to. Cast your vote for national development & bright future of your children. I have my faith in your power to choose.",,,
192,"Pakistan fell 12 points on Press Freedom Index during last year of Imran Khan's govt & 18 points during his tenure. It not only earned him shameful title of ""press freedom predator"" but also placed our democracy in bad light. We are fully committed to freedom of press & speech!",,,
193,"As the world faces the prospect of a recession fuelled by increase in the energy & food prices, there is a greater need to promote engagement & understanding to form win-win partnerships. Climate induced disasters call for synergized efforts for mutually beneficial outcomes.",,,
194,"A massive national effort is underway to restore essential services in the flood-hit areas. NHA, DISCOs, PTA & other federal departments have done amazing work against the heaviest of odds & largely rehabiliated the damaged infrastructure. My appreciation for all public servants.",,,
195,"Presenting Pakistan's case at both the international forums was the result of excellent team work. I particularly appreciate Foreign Minister Bilawal Bhutto, Minister for Information Marriyum Aurangzeb & Minister for Climate Change Sherry Rehman for their hard work & assistance.",,,
196,"Congratulations to Federal Minister for Finance 
@MiftahIsmail
 & his entire team on the presentation of a balanced, progressive and pro-people budget. Making a budget in financially challenging times with so many constraints is no less than a herculean task.",,,
197,It is my pleasure to extend heartiest felicitations & greetings to the people & government of the United States on their Independence Day. My govt looks forward to engaging with the Biden Administration at all levels to promote our bilateral relations including trade & investment,,,
198,"Highly grateful to UN Secretary General H.E. 
@antonioguterres
 for his unwavering support to Pakistan's flood victims & raising his voice for recovery & reconstruction of  with resilience. He played a pivotal role in making Resilient Pakistan Conference a resounding success.",,,
199,لقاء مثمر جمعني بصاحب السمو الملكي الأمير محمد بن سلمان، اتفقنا على رفع مستوى العلاقات الثنائية والروابط الأخوية بين باكستان والمملكة العربية السعودية والأخذ بها إلى آفاق جديدة وفق متطلبات العالم المتغير بصورة مستمرة، وأخبرت صاحب السمو الملكي أن شعب باكستان يتطلع بشغف إلى زيارته.,,,
200,"Honoured to host our players & athletes who made the country proud by winning various medals in the Commonwealth Games. Their hard work & devotion was exemplary. Today I also announced the revival of the departmental sports, which was a long-standing demand.",,,
201,آج خیبر پختونخوا کے سیلاب متاثرین سے ملاقات کے دوران میں نے انکی بحالی میں حکومت کی طرف سے مکمل تعاون کا یقین دلایا۔ ہمارا تعلق کسی بھی سیاسی جماعت یا علاقے سے ہو، سیلاب متاثرین کی بحالی اور خدمت، ہم سب کاقومی مشن ہے۔ پاکستان ہمارا دیس ہے جس کی ہمیں مل کر خدمت کرنی ہے۔ انشاءاللّہ,,,
202,"Deeply grieved at the passing of Her Majesty Queen Elizabeth II. Pakistan joins the UK & other Commonwealth nations in mourning her death. My heartfelt condolences to the Royal Family, people & government of the UK. 
@10DowningStreet
 @RoyalFamily",,,
203,"Deeply grieved at passing of prominent Kashmiri leader Altaf Shah, son-in-law of Syed Ali Geelani, while in Indian captivity. Modi regime denied him treatment despite knowing he was cancer patient. Custodial killings are norm in Modi's India. My condolences to the bereaved family",,,
204,"The 27th of October is observed as Black Day when India illegally, immorally & forcibly occupied Jammu & Kashmir in 1947. This Day is a testament to Kashmiris' legendary courage & resilience they have shown in standing up to the Indian occupation forces over the last 75 years. /1",,,
205,"In my address at Resilient Pakistan Conference, I outlined recovery, rehabilitation & reconstruction needs of Pakistan over medium to long terms. I explained how flood ravages have caused learning, health & infrastructure losses. I alerted world to spectre of food insecurity.",,,
206,مسلم لیگ (ن) کے کارکنوں کو ہدایت کرتا ہوں کہ خودکش حملے میں زخمیوں کی جان بچانے کے لئے خون کے عطیات دیں، خاص طور پر 'او۔نیگیٹو' خون کے حامل عوام، طالب علم اور پارٹی کارکنان سے اپیل ہے کہ فی الفور لیڈی ریڈنگ ہسپتال، پشاور پہنچیں اور قیمتی انسانی جانیں بچانے میں اپنا حصہ ڈالیں۔,,,
207,"Today we acknowledge, applaud & pay tribute to our women for their heroic struggle & incredible contribution to society. The odds could not have been heavier but their resolve to navigate through them is what gives us hope in the future..

 1/2",,,
208,"In the following tweets, I explain the rationale behind the announcement of 10% super tax on the affluent people.",,,
209,کل ISI  آفیسر نوید صادق شہید کے اہل خانہ کو اپنے اور قوم کی طرف سے خراج عقیدت پیش کرنے کے لئے حاضر ہوا۔یقیناًیہ نوید صادق اور ناصر عباس شہید جیسے وطن کے جاں نثاروں کی بدولت ہےکہ پاکستان دشمن عناصر کے مذموم عزائم خاک میں ملے۔قوم ہمیشہ اپنے شہداءاوران کے اہل خانہ کی شکر گزار رہے گی,,,
210,"Highly grateful to H.E. President Xi Jinping  for Chinese assistance package of RMB 400 million, up from initial RMB 100 million, for flood victims in Pakistan. This is a reflection of our unique bond of friendship. This support will help provide much needed relief to the people.",,,
211,"Polio is a deadly virus that threatens not just life but also the future of our children. It is regrettable that we have not fully eliminated it so far. Polio campaign starting today aims to target 25 most vulnerable districts. Let us make it a success& defeat polio, once for all",,,
212,معتبر عالمی ادارے فنانشل ٹائمز کی تحقیقاتی رپورٹ عمران نیازی کے خلاف سنگین فرد جرم ہے جس نے پی ٹی آئی کی فارن فنڈنگ، غیرقانونی بھاری رقوم کی ترسیل کے حقائق بے نقاب کر دیئے ہیں۔ رپورٹ میں بیان کردہ ٹھوس حقائق چیخ چیخ کر بتا رہے ہیں کہ عمران نیازی جھوٹ، تضادات اور منافقت کا پیکر ہے,,,
213,میرے عوام سے وعدے کے مطابق اتحادی حکومت نے فوری طور پر عالمی منڈی میں تیل کی قیمتوں میں کمی کے فائدے کو عوام تک منتقل کیاہے۔جیسے ہی مزید معاشی گنجائش پیدا ہوگی ہم عوام تک ریلیف پہنچاتے رہیں گے. میں عوام سے ہمیشہ سچی بات کرنے پر یقین رکھتا ہوں۔,,,
214,#COP27 being held in Egypt can be a watershed in humanity's fight against climate change & global warming. Extreme climatic events in Pakistan & Horn of Africa this year have showcased globalisation of climate change. Turning a blind eye to its lethal effects will be criminal.1/3,,,
215,The whole nation comes together today in paying homage to our martyrs & Ghazis who put their lives on the line to defend the motherland against the Indian aggression. Together our armed forces & people thwarted the Indian machinations to undermine our territorial integrity.,,,
216,Our government stands firmly behind Roshan Digital Account scheme. Happy that yesterday State Bank received $57 million the largest inflow in a day ever. We have now crossed $4.5 billion in total deposits. I thank overseas Pakistanis for reposing their trust in the motherland.,,,
217,"I extend my profound gratitude to His Excellency Syed Ebrahim Raisi, President of Islamic Republic of Iran  , for his message of support and solidarity to the government and people of Pakistan . We gratefully acknowledge his offer of support at this difficult hour.",,,
218,اس دورے کے تناظر کو سمجھنا اہم ہے۔ کورونا وبا کے بعد دنیا معاشی سست روی سے بحالی کی طرف جا رہی ہے۔ جیوپولیٹیکل کشیدگیوں نے طلب اور رسد کا عمل متاثر اور توانائی اور خوراک کی قیمتوں میں اضافے نے مسائل میں اضافہ کیا ہے۔ مشترکہ چیلنجز متقاضی ہیں کہ تعاون کی نئی راہیں ڈھونڈیں۔,,,
219,Deeply grieved over martyrdom of Lt Col Laiq Baig Mirza in Balochistan. Our law enforcement agencies will hunt down all those who perpetrated this heinous crime & bring them to justice. My thoughts & prayers are with bereaved family. Nation grieves with them & shares their sorrow,,,
220,دہشت گرد بہیمانہ کارروائیوں کے ذریعے عوام میں خوف وہراس پھیلانا اور دہشت گردی و انتہا پسندی کے خلاف عظیم قربانیوں سے حاصل ہونے والی ہماری کامیابیاں رائیگاں کرنا چاہتے ہیں۔ تمام سیاسی قوتوں کو میرا پیغام ہے کہ پاکستان دشمنوں کے خلاف متحد ہوں۔ ہم اپنے سیاسی جھگڑے بعد میں لڑلیں گے۔,,,
221,"True public service is serving the people and making their lives easy

Well done, Saad Rafique ",,,
222,"At Asia-Pacific ICT Awards, I made a case for digital empowerment of our youth. In an age defined by technological disruption, our youth needs to focus on big  ideas. Our current IT exports have a potential of billions of dollars. Govt is taking steps to enhance our exports.",,,
223,Mir Balakh Sher Mazari was a veteran Baloch politician who played leading role in the country's politics. Our national politics is poorer with his death. He belonged to a breed of public servants who believe in values & principles. My heartfelt condolences to his family & friends,,,
224,"#COP27 needs to recognize the loss and damage experienced by Pakistan and it needs to define a clear roadmap to deal with it, 
@antonioguterres
 said today in a joint press encounter with 
@CMShehbaz
. 
https://un.org/sg/en/content/sg/press-encounter/2022-11-07/un-secretary-generals-remarks-joint-press-encounter-prime-minister-of-pakistan-shehbaz-sharif…",,,
225,"I urged the world to wake up to the defining challenge of climate change in terms of translating commitments into real-life outcomes. This calls for a transformational shift in flow of capacities, finances and technology to deal a decisive blow to the challenge of climate change.",,,
226,رحیم یار خان کے قریب دریائے سندھ میں کشتی اُلٹنے کے حادثے کے نتیجے میں 19 قیمتی جانوں کے ضیاع پر دکھی اور رنجیدہ ہوں. اللہ تعالی سے دعا ہے کہ وہ مرحومین کو اپنے جوارِ رحمت میں جگہ دے اور متاثرہ خاندانوں کو صبرِ جمیل عطا فرمائے.,,,
227,اپنے وسائل کو مدِنظر رکھتے ہوئے ہم سب پاکستانیوں کوتوانائی کی بچت اوران کامؤثراور بہتراستعمال یقینی بناناہے۔ آج حکومت نے تفصیلی مشاورت سےتوانائی کی بچت کےپلان پر عملدرآمد کا آغاز کردیا ہے۔ہمیں توانائی بچت پلان کو کامیاب بنانے کیلئے زندگی کے ہر شعبے میں اپنے طرزِ عمل کو بدلنا ہوگا,,,
228,۔ جھوٹ بولنے، 100 یونٹ مفت بجلی کی سہولت چھیننے والوں کے خلاف واضح فیصلہ سنائیں۔,,,
229,گوادر کے حالیہ دورے کے دوران مجھے احساس ہوا کہ کیسے PTI حکومت نے گوادر کے لوگوں کا نقصان کیا۔ اربوں روپے اور قیمتی وقت ضائع کرنے کے ساتھ ساتھ گزشتہ حکومت گوادر کے مقامی لوگوں جنہوں نے بندرگاہ کی تعمیر کیلئے قربانیاں دیں، کے  بجلی/پانی کے لیے ایک بھی منصوبہ مکمل کرنے میں ناکام رہی,,,
230,"Government has taken this decision for the purpose of poverty alleviation. We have asked our affluent segment of society to fulfil the national duty by sharing the burden, for it is the poor who have always borne the brunt & rendered sacrifices for the country.",,,
231,"I thank H.E. Mr. 
@alexanderdecroo
, Prime Minister of Belgium , for sending humanitarian assistance to support the flood victims in Pakistan. At the moment, Pakistanis are fighting one of the world gravest natural calamities & need the international community to stand by them.",,,
232,This is the first budget that contains the plan for revival of the economy. The hard decisions we have taken will enable the country to overcome the economic crisis. The government has tried its best to place minimum burden on lower income & salaried class.,,,
233,My discussions with Chinese leadership will focus on revitalization of CPEC among many other things. 2nd phase of CPEC promises to usher in a new era of socio-economic progress that will uplift quality of our people's lives. There is a lot to learn from Chinese economic miracle.,,,
234,"In my speech at CHS-SCO today in Samarkand, I asked member countries to renew their search for regional solutions to problems that threaten to undermine our shared peace & development. Building a wall against climate change is one such imperative that we ignore at our own peril.",,,
235,آج یوم بحریہ کےموقع پر پاک نیوی کوپاکستان کی سمندری حدود کی حفاظت کیلئےقربانیوں پرپوری قوم خراجِ تحسین پیش کرتی ہے۔ ہندوستانی بندرگاہ دوارکا کی تسخیر ہویا غازی آبدوز کی جنگ کےدوران سمندروں پر برتری، پاکستان نیوی کے جری جوانوں نے بہادری سے دشمن پر اپنی دھاک بٹھائےرکھی۔,,,
236,"When the coalition government got into power, it had 2 paths open to it; whether to go for elections & leave the economy broken or address the economic challenges first. We opted to save Pakistan from economic quagmire even if it involved political risks. We put Pakistan first.",,,
237,"Special thanks to our agiculturalists, captains of commerce, trade and industry, IT and finance experts for their active participation & proposals. Pre-budget Business Conference was perfect platform for a candid exchange of views on the economic challenges & the way forward. ",,,
238,"I extend my congratulations to H.E. Luiz Inácio Lula da Silva 
@LulaOficial
 on his election as President of Brazil. I wish him great success & look forward to working with him to enhance bilateral relations b/wour two countries. We share consensus on the dangers of climate change.",,,
239,"We have reached out to donors, friendly countries & international financial institutions for assistance to respond to the scale of flood calamity. I will be meeting Islamabad-based ambassadors & high commissioners tomorrow to apprise them of nature of challenge & need for help.",,,
240,باغ میں گاڑی کےحادثے میں 9 فوجی جوانوں کی شہادت پر دلی دکھ اور رنج ہوا۔ اللہ تعالی سے دعا ہےکہ شہداء کے درجات بلند اور سوگوران کوصبرِ جمیل عطا کرے۔ ملکی بقاء کی خاطر اپنی جانوں کا نظرانہ پیش کرنے والےجوانوں اور انکےباحوصلہ اہلِ خانہ کومجھ سمیت پوری قوم خراجِ عقیدت پیش کرتی ہے۔,,,
241,"الحمدللّٰہ! 
پاکستان کو قوم کی دعاؤں سے جنیوا کانفرنس میں بڑی کامیابی ملی ہے۔",,,
242,آج پاکستان سمیت دنیا بھرمیں سکھ برادری بابا گرونانک دیو کا 553واں یومِ پیدائش منارہی ہے.بابا گرونانک کی زندگی اور ان کاپیغام بھائی چارےاور امن کا درس دیتا ہے.میں اس مقدس دن پر دنیا بھر سےآئےسکھ یاتریوں کوخوش آمدید کہتا ہوں اورامید کرتا ہوں کہ پاکستان میں انکا قیام بہترین گزرےگا,,,
243,"Heartiest felicitations to H.E. 
@azpresident
 Ilham & brotherly people of Azerbaijan on their ‘Victory Day’, which signifies resilience, courage & national cohesion. May the commemoration of this Day usher in an era of lasting peace and prosperity in the Caucasus region.  ",,,
244,آئین نے ریاستی اختیار پارلیمنٹ، انتظامیہ اور عدلیہ کو تفویض کئے ہیں۔ آئین نے سب اداروں کو متعین حدود میں کام کرنے کا پابند کیا ہے۔ کوئی ادارہ کسی دوسرے کے اختیار میں مداخلت نہیں کرسکتا۔ آئین اورپارلیمنٹ کی بالادستی پر کوئی سمجھوتہ نہیں کریں گے۔,,,
245,"On behalf of people & govt of Pakistan, I wish to extend our felicitations to King Salman bin Abdulaziz, HRH Crown Prince Mohammed bin Salman & people of Saudi Arabia on their Founding Day. The Day celebrates KSA’s rich history & culture & highlights its remarkable transformation",,,
246,"Grateful for Czech Republic PM 
@P_fiala
's message of support for the flood-stricken people of Pakistan. We appreciate  solidarity in this difficult time and look forward to support at the European Union .",,,
247,Thank you to the European Union for its commitment of $97 million for Pakistan's flood-affectees. The multifaceted relations between Pakistan & EU have grown over the decades. EU continues to remain one of Pakistan's largest trading & development partners & export destination.,,,
248,ہیپاٹائٹس پاکستان سمیت پوری دنیاکودہائیوں سےمتاثر کررہاہے.ہیپاٹائٹس کےعالمی دن پرعہد کریں کہ ہم اسکریننگ،ویکسینشن اوراحتیاطی تدابیرسےاس خطرےکو کم کریں گے.2030 تک پاکستان سےاس کےمکمل خاتمےکیلئےصوبائی حکومتیں اورتمام اسٹیک ہولڈرزاس کی علامات اورپھیلاؤ کے بارےعوام میں آگاہی پیداکریں,,,
249,"I am convinced more than ever before that development of Pakistan is linked with peace, stability & progress of Balochistan. The coalition govt aims to assist Balochistan by working with the provincial govt & local elders to chart the way forward.",,,
250,"During my visit to Quetta today, I listened to diverse opinions and views of all stakeholders. The path to development passes through the hearts & minds of people. Mere development will be meaningless if people's genuine grievances are not addressed.",,,
251,"I am greatly thankful to my brother His Highness Sheikh 
@MohamedBinZayed
 for his message of condolences on the loss of precious lives in the flash floods. His words of comfort & support mean a lot to us at this time monumental challenge. We acknowledge his offer of support.  ",,,
252,"Peace & development in South Asia are linked to resolution of Kashmir dispute. On Right to Self-determination Day today, I call upon global community to play its part in giving Kashmiris of IIOJK their legal right to decide their destiny. India must reverse its actions of Aug 5.",,,
253,قوم کے ان بہادر اور فرض شناس بیٹوں کو سلام پیش کرتے ہیں جنہوں نے ترکیہ کے بہنوں، بھائیوں اور بچوں کی زلزلہ کی تباہی کے دوران زندگیاں بچائیں، دن رات انسانیت کے جذبے سے کام کیا۔ ترکیہ میں ریسکیو آپریشن مکمل ہونے پر ریسکیو 1122 کے دستے کی وطن واپسی کا قابل فخر اور روح پرور نظارہ,,,
254,We are grateful to His Highness Crown Prince Mohammed Bin Salman for ordering relief goods for the flood victims in Pakistan. Pakistan and Saudi Arabia  are bound in a relationship of love. This assistance is a sign that we feel each othter's pain.,,,
255,"In light of the outcomes of the Pre-Budget Business Conference, I have decided to form various task forces consisting of experts & professionals belonging to IT, export, agriculture, finance sectors & food security to finalise the proposals for fast-paced implementation.",,,
256,Saddened by the news of the loss of precious lives & ravages caused by a cyclone in Bangladesh. I convey our deepest condolences & most sincere sympathies to the government and the people of Bangladesh. Our thoughts & prayers are with the bereaved families.,,,
257,"Thank you to Prime Minister Justin Trudeau 
@JustinTrudeau
 for his thoughts & sympathies on the loss of precious lives & unprecedented devastation in Pakistan. Canada has been a great friend & we are grateful that the Canadian govt is taking steps to support the flood victims.",,,
258,ہر سال 16 دسمبر کا دن پوری قوم کو اس کرب اوردکھ کی یاد دلاتا ہےجب دھشگردوں نےAPS پشاور میں ظلم کی داستان رقم کی.برسوں بعد بھی غم ہے کہ بھلایا نہیں جاتا. آج سانحہ APS کےشہداء سےعقیدت اور ان کے لواحقین کا غم بانٹنےکا دن ہے.پاکستانی قوم اپنےشہیدوں کی قربانیاں کبھی فراموش نہیں کرے گی,,,
259,"Government has decided to expand the ongoing rescue & relief efforts for Türkiye into a countrywide campaign. We will enlist the support of business community, religious scholars & educational institutions. Pakistan will continue to stand by Türkiye in this difficult hour.",,,
260,"Pakistan thanks Angelina Jolie, a special UN envoy, and other unsung heroes for becoming the voice of millions of people whose lives & livelihoods have been destroyed by raging floodwaters. We will forever remember their empathy & compassion for suffering humanity.",,,
261,"On behalf of the people & government of Pakistan, I wish to convey our sincere good wishes to His Majesty King Charles III on his accession to the throne. May the people of the United Kingdom continue to prosper under his benevolent reign 
@RoyalFamily
 @ClarenceHouse",,,
262,مرچی ماں کوئٹہ ء- وتی تر ء، تاب ء_ وہد ء- من اود ء_ مردمانی ھیال ء، لیکہ گوش داشت انت۔دیمروی ء_ کشک مدام لس مہلوک ء_ دل ء،ھیالانی تہا چہ گوزایت۔ ہشکیں دیمروی ہچ کار ء- نئیت داں مردمانی  راستیں جیڑہانی گیشواری کنگ مہ بیت۔,,,
263,I urge the Election Commission of Pakistan to announce long-delayed judgment on PTI foreign funding case. For long has Imran Niazi been given a free pass despite his repeated & shameless attacks on state institutions. Impunity given to him has hurt the country.,,,
264,"India has unleashed its brute & oppressive state apparatus to browbeat Indian Muslims into submission. The whole plan is to further marginalise them politically, economically & culturally. The reality of India's ""democratic face"" is before the world to see.",,,
265,"The establishment of loss & damage fund at the UN climate summit is the first pivotal step towards the goal of climate justice. It is up to the transitional committee to build on the historic development. I appreciate 
@sherryrehman
 & her team for their contribution & hard work.",,,
266,"مجھے ابھی بتایا گیا ہے کہ پاکستانی شہری مدثر سلطان @Asmi_Malik_  کا سعودیہ میں انتقال ہو گیا ہے۔ اللہ پاک جنت الفردوس میں جگہ دے اور ان کے گھر والوں کو صبر جمیل عطا فرمائے۔وہ پارٹی کا قیمتی اثاثہ تھے۔ 
ان کے جسد خاکی کو پاکستان لانے کے لئے پاکستانی سفارتخانے کوہدایت جاری کردی ہیں",,,
267,Let us turn Pakistan  into a country where difference of opinion is not treated as an act of enmity, where criticism is faced with courage, where public service delivery is the definition of politics, where women are treated with respect & the rights of minorities are protected
268,آپکا ووٹ ہی آپکی طاقت ہے. اس طاقت سے  انتشار، نفرت اور تقسیم کی سیاست کومسترد کریں.ایک شخص کی اناء،اندازِ سیاست اور نااہلی نےہمارے معاشرےکے حسن کو تہ و بالا کرکے رکھ دیا ہے. اپنا ووٹ قومی ترقی اور اپنے بچوں کے روشن مستقبل کیلئےڈالیں. مجھے آپکی قوتِ انتخاب پر پورا بھروسہ ہے.,,,
269,د خېبرپښتونخوا سېلاب ځپلو سيمو ته د خپل سفر په مهال، ما خلکو ته ډاډ ورکړ چې حکومت به تر هغه وخته پورې د دوی په خدمت کې حاضر وي تر څو چې دوی خپل کورونو تہ واپس نه شی. مهمه نده چې موږ د کوم سیاسي ګوند سره تعلق لرو، ټول صوبايي او وفاقي حکومتونه به دی خلکو سره د مرستې لپاره کار وکړي.,,,
270,"austerity measures that begin with the cabinet members voluntarily surrendering their pays, perks & privileges will save the exchequer an amount of Rs. 200 billion annually. I am grateful to all coalition partners for their support. Will personally supervise the implementation",,,
271,Islam attaches great importance to the rights of workers. Its economic system is egalitarian & teaches us to leave no one behind. Real democracy lies in empowering workers economically. My govt is committed to raising their standard of living & honouring the dignity of their work,,,
272,"The Quaid-i-Azam single-handedly changed the course of history through his sheer will power, clarity of thought & unwavering struggle. Commitment to constitutionalism marked his leadership. His motto of unity, faith & discipline continues to serve as a clarion call for the nation",,,
273,آج یومِ عید ایک خاص دن سے بڑھ کر ایک خاص موقع ہے، بے مثال اتحاد و یگانگت کا۔ آج گلہ کرنے کا نہیں گلے ملنے کا دن ہے، قوم کے یک قالب ہونے کا دن ہے اور مل کر مسکرانے کا دن ہے۔ تمام پاکستانیوں اور عالمِ اسلام میں آباد ہر مسلمان کو میری طرف سے عید کی دلی مبارکباد,,,
274,"Pakistan Climate Council has been tasked to synergise efforts for fashioning an effective national strategy on climate change. Coordinating with all stakeholders, the Council will work on the various facets of climate change such as mitigation, adaption & climate finance.",,,
275,"It was great to host England & Pakistan cricket teams at the PM House this evening. Cricket is a shared passion that binds our two countries in a close relationship. Congratulations to England for winning the first Test, but the true winner was the glorious game itself.",,,
276,"میرے دورہء کالام کے دوران سیلاب متاثرین اور کالام میں پھنسے مقامی و بین الاقوامی سیاحوں سے وعدے کے مطابق آج بحرین تا کالام سڑک کو بحال کرکے ٹریفک کیلئے کھول دیا گیا ہے. مشکل حالات کے باوجود راستے کی ترجیحی بنیادوں پر بحالی پر FWO, NHA اور 11 کور کے اہلکار لائقِ تحسین ہیں.",,,
277,سیلاب سے بلوچستان، سندھ اور خیبر پختونخوا میں بجلی کے نظام کو شدید نقصان پہنچا. متاثرہ جگہوں ہر بجلی کی فراہمی یقینا ایک بہت بڑا چیلنج تھا۔ میں خاص طور پر سیکرٹری پاور ڈویژن راشد لنگڑیال اور ان کی ٹیم کو مبارکباد دیتا ہوں کہ جنہوں نے دن رات محنت کرکے بجلی کی بحالی کو یقینی بنایا۔,,,
278,"Extremely delighted to receive my brother His Highness Sheikh Mohamed Bin Zayed 
@MohamedBinZayed
 on his arrival in Pakistan, which is his second home. Building on our last meeting, we discussed ways & means to further strengthen our brotherly relations.",,,
279,"Amid economic difficulties, the expression of solidarity & sharing the burden is the governing spirit of austerity measures of our government. It is leadership by personal example. It is through collective efforts that the country can be rid of the present challenging phase. 1/2",,,
280,"The misleading speculations about Pakistan's nuclear & missile program are unfortunate. The stringent, fool-proof & multi-layered security safeguards, duly testified by IAEA, are in place. Our nuclear program represents the unwavering consensus of the nation & is for deterrence.",,,
281,"Today we lauded the efforts of various ministries, experts & unsung heroes who contributed immensely to realising the 30-year-old dream of the loss & damage fund. Pakistan ably led the Global South in crafting a consensus towards climate justice. The journey has only begun. 1/2",,,
282,First consignment of relief goods for the flood affectees has reached Afghanistan to be followed by more relief measures. Pakistan will continue to stand by Afghan brothers & sisters through thick & thin. International community shouldn't forget Afghan people in this hour of need,,,
283,Resurgence in terrorism poses a renewed threat to our national security. Our valiant security forces are fully capable of dealing with this threat. I pay rich tributes to our brave sons of the soil who took part in Bannu operation. May Allah accept the sacrifices of our martyrs,,,
284,"Today marks the launch of Pakistan's very first Digital Census’23. This transparent system of data collection will feed into informed decision-making, future planning & efficient utilisation of resources. Congrats to all the organisations for designing this system indigenously.",,,
285,"Attended a photo exhibition a little earlier with UN Global Communication head in the UN HQ. These photos tell a tale of misery, pain & anguish that 33 million people of Pakistan are experiencing for no fault of theirs. Our story needs a sympathetic hearing.",,,
286,Government has increased funding for Benazir Income Support Program. Benazir scholarship program has been extended to ten million students.,,,
